Date,Home,Away,H_Score,A_Score,H_Pitcher,A_Pitcher
20200505,LG,두산,8,2,차우찬 ,알칸타라 
20200505,SK,한화,0,3,킹엄 ,서폴드 
20200505,삼성,NC,0,4,백정현 ,루친스키 
20200505,KT,롯데,2,7,데스파이네 ,스트레일리 
20200505,KIA,키움,2,11,양현종 ,브리검 
20200506,LG,두산,2,5,송은범 ,이영하 
20200506,SK,한화,5,2,핀토 ,임준섭 
20200506,삼성,NC,3,4,라이블리 ,라이트 
20200506,KT,롯데,4,9,쿠에바스 ,서준원 
20200506,KIA,키움,2,3,브룩스 ,요키시 
20200507,LG,두산,3,9,정찬헌 ,플렉센 
20200507,SK,한화,4,8,박종훈 ,장시환 
20200507,삼성,NC,2,8,뷰캐넌 ,구창모 
20200507,KT,롯데,3,7,배제성 ,박세웅 
20200507,KIA,키움,8,5,이민우 ,최원태 
20200508,두산,KT,3,12,유희관 ,소형준 
20200508,롯데,SK,9,8,노경은 ,문승원 
20200508,삼성,KIA,5,0,최채흥 ,가뇽 
20200508,NC,LG,13,5,이재학 ,윌슨 
20200508,키움,한화,5,3,이승호 ,장민재 
20200510,두산,KT,13,12,이용찬 ,김민 
20200510,롯데,SK,4,0,스트레일리 ,김태훈 
20200510,삼성,KIA,3,12,백정현 ,양현종 
20200510,NC,LG,8,10,김영규 ,켈리 
20200510,키움,한화,6,3,브리검 ,서폴드 
20200512,LG,SK,9,5,차우찬 ,킹엄 
20200512,롯데,두산,6,11,장원삼 ,알칸타라 
20200512,NC,KT,7,6,루친스키 ,데스파이네 
20200512,키움,삼성,3,2,요키시 ,라이블리 
20200512,한화,KIA,1,2,김민우 ,브룩스 
20200513,LG,SK,14,2,임찬규 ,핀토 
20200513,롯데,두산,10,9,서준원 ,이영하 
20200513,NC,KT,5,4,라이트 ,쿠에바스 
20200513,키움,삼성,0,5,최원태 ,뷰캐넌 
20200513,한화,KIA,3,4,장시환 ,이민우 
20200514,LG,SK,3,2,윌슨 ,박종훈 
20200514,롯데,두산,4,7,박세웅 ,플렉센 
20200514,NC,KT,1,0,구창모 ,배제성 
20200514,키움,삼성,5,8,이승호 ,최채흥 
20200514,한화,KIA,4,1,장민재 ,가뇽 
20200515,SK,NC,2,6,문승원 ,이재학 
20200515,KT,삼성,14,6,소형준 ,원태인 
20200515,KIA,두산,4,13,임기영 ,유희관 
20200516,한화,롯데,1,5,서폴드 ,노경은 
20200516,SK,NC,1,2,김태훈 ,김영규 
20200516,KT,삼성,10,4,김민 ,윤성환 
20200516,KIA,두산,13,4,양현종 ,이용찬 
20200516,LG,키움,3,1,켈리 ,브리검 
20200516,LG,키움,5,3,정찬헌 ,한현희 
20200517,LG,키움,4,9,차우찬 ,요키시 
20200517,SK,NC,5,11,백승건 ,루친스키 
20200517,KT,삼성,9,2,데스파이네 ,라이블리 
20200517,KIA,두산,4,6,브룩스 ,알칸타라 
20200517,한화,롯데,5,4,김민우 ,이승헌 
20200519,두산,NC,4,5,이영하 ,라이트 
20200519,삼성,LG,6,10,뷰캐넌 ,임찬규 
20200519,KT,한화,13,11,쿠에바스 ,장시환 
20200519,KIA,롯데,9,2,이민우 ,서준원 
20200519,키움,SK,11,6,최원태 ,핀토 
20200520,두산,NC,2,1,플렉센 ,구창모 
20200520,삼성,LG,3,1,최채흥 ,윌슨 
20200520,KT,한화,8,1,배제성 ,장민재 
